channel_name,video_id,video_title,published_datetime,duration,view_count,like_count,dislike_count,comment_count,description,thumbnail_url
@Mrwhosetheboss,neIYdLysqlk,I tested the Craziest Xiaomi Gadgets!,2024-11-13T12:04:54Z,PT27M53S,6679521,219704,0,8890,"I'm still genuinely in shock how great some of these were 😅 

I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you would like to support me on that mission then consider subscribing to the channel - you'd make my day 😁

For my tech hot takes: http://twitter.com/Mrwhosetheboss
For my Personal Posts: http://instagram.com/mrwhosetheboss
Does anyone still use this anymore?: https://facebook.com/mrwhosetheboss

Amazon Affiliate links (if you buy anything through these it will support the channel and allow us to buy better gear!):
Amazon US: https://amzn.to/3mFix9d
Amazon UK: https://amzn.to/3GMPPtM

My Filming Gear:
https://bit.ly/35CuxwI

Music is from Epidemic sound:
http://share.epidemicsound.com/pHDFT",https://i.ytimg.com/vi/neIYdLysqlk/hqdefault.jpg
@Mrwhosetheboss,YX8ks42Azn8,The TRIPLE FOLDING phone has a Problem.,2024-10-26T14:06:50Z,PT12M54S,3464013,111736,0,5932,"This phone has a LOT of good....and a LOT of bad... Limited time offer! 10% off Insta360 X4 + free 3M invisible selfie stick for first 30 orders, at https://bit.ly/Mrwhosetheboss-X4
Check out my full Insta360 X4 dedicated video: https://www.youtube.com/watch?v=RRibM1yBZK4

I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you would like to support me on that mission then consider subscribing to the channel - you'd make my day 😁

For my tech hot takes: http://twitter.com/Mrwhosetheboss
For my Personal Posts: http://instagram.com/mrwhosetheboss
Does anyone still use this anymore?: https://facebook.com/mrwhosetheboss

Amazon Affiliate links (if you buy anything through these it will support the channel and allow us to buy better gear!):
Amazon US: https://amzn.to/3mFix9d
Amazon UK: https://amzn.to/3GMPPtM

My Filming Gear:
https://bit.ly/35CuxwI

Music is from Epidemic sound:
http://share.epidemicsound.com/pHDFT",https://i.ytimg.com/vi/YX8ks42Azn8/hqdefault.jpg
@Mrwhosetheboss,4RcThoRG46c,I tested every Celebrity Tech product!,2024-10-05T10:52:18Z,PT27M15S,5872358,185517,0,5921,"Celebrity tech from Ronaldo, Mbappe, Will Smith, Kim Kardashian and much more, finally put to the test 😎 First 30 purchases get 10% off the Insta360 X4, plus a free Bullet Time Tripod and Invisible Selfie Stick at https://bit.ly/Mrwhosetheboss-BulletTime-X4
⁠Check out my full Insta360 X4 dedicated video: https://www.youtube.com/watch?v=RRibM1yBZK4

I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you would like to support me on that mission then consider subscribing to the channel - you'd make my day 😁

Credits to @hopescope for the thumbnail inspo!

For my tech hot takes: http://twitter.com/Mrwhosetheboss
For my Personal Posts: http://instagram.com/mrwhosetheboss
Does anyone still use this anymore?: https://facebook.com/mrwhosetheboss

Amazon Affiliate links (if you buy anything through these it will support the channel and allow us to buy better gear!):
Amazon US: https://amzn.to/3mFix9d
Amazon UK: https://amzn.to/3GMPPtM

My Filming Gear:
https://bit.ly/35CuxwI

Music is from Epidemic sound:
http://share.epidemicsound.com/pHDFT",https://i.ytimg.com/vi/4RcThoRG46c/hqdefault.jpg
@Mrwhosetheboss,vSIbvJB4WdI,iPhone 16 Pro Max vs Samsung S24 Ultra Camera Battle!,2024-09-19T11:44:30Z,PT16M44S,3852255,116115,0,10790,"iPhone 16 Pro / Pro Max camera test comparison vs Samsung Galaxy S24 Ultra!  For the upgraded TORRAS iPhone 16 cases and screen protector, go to Amazon https://bit.ly/47hVN1O with code boss1620 to get 20% OFF today!
Official Website: use code boss1620 https://bit.ly/3MDT5KA
#apple #iphone16 #torras #torrasiphone16 #ostand

I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you would like to support me on that mission then consider subscribing to the channel - you'd make my day 😁

For my tech hot takes: http://twitter.com/Mrwhosetheboss
For my Personal Posts: http://instagram.com/mrwhosetheboss
Does anyone still use this anymore?: https://facebook.com/mrwhosetheboss

Amazon Affiliate links (if you buy anything through these it will support the channel and allow us to buy better gear!):
Amazon US: https://amzn.to/3mFix9d
Amazon UK: https://amzn.to/3GMPPtM

My Filming Gear:
https://bit.ly/35CuxwI

Music is from Epidemic sound:
http://share.epidemicsound.com/pHDFT",https://i.ytimg.com/vi/vSIbvJB4WdI/hqdefault.jpg
@Mrwhosetheboss,cRPBp2tRxFY,iPhone 16 / 16 Pro Unboxing - Testing every new feature!,2024-09-18T12:00:50Z,PT21M40S,4292702,125122,0,8474,"Unboxing and testing the iPhone 16 Pro Max, iPhone 16 Pro, iPhone 16 Plus and iPhone 16 - as well as the AirPods 4 and a whole bunch of Apple accessories! 
Shop ESR Qi2 MagSafe Battery Pack with Kickstand: https://amzn.to/3TuoVxr
Shop ESR 3-in-1 MagSafe Charger with Qi2 & CryoBoost: https://amzn.to/4gmnKd7
Shop ESR MagSafe Car Charger with Qi2 & CryoBoost: https://amzn.to/3B5EuFp

#smartphone #iphone16 #esr #esrmagsafe #esrmagsafecharger

I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you would like to support me on that mission then consider subscribing to the channel - you'd make my day 😁

For my tech hot takes: http://twitter.com/Mrwhosetheboss
For my Personal Posts: http://instagram.com/mrwhosetheboss
Does anyone still use this anymore?: https://facebook.com/mrwhosetheboss

Amazon Affiliate links (if you buy anything through these it will support the channel and allow us to buy better gear!):
Amazon US: https://amzn.to/3mFix9d
Amazon UK: https://amzn.to/3GMPPtM

My Filming Gear:
https://bit.ly/35CuxwI

Music is from Epidemic sound:
http://share.epidemicsound.com/pHDFT",https://i.ytimg.com/vi/cRPBp2tRxFY/hqdefault.jpg
@mkbhd,z19HM7ANZlo,The M4 Mac Mini is Incredible!,2024-11-07T14:00:39Z,PT11M45S,5406225,160073,0,8128,"The new $599 M4 Mac Mini is really good. In more than one way.

MKBHD Merch: http://shop.MKBHD.com

Apple Mac Mini M4: https://geni.us/XAWA0

Tech I'm using right now: https://www.amazon.com/shop/MKBHD

Playlist of MKBHD Intro music: https://goo.gl/B3AWV5
That wallpaper: https://geni.us/aWrWc

Computer provided by Apple for review.

~
http://twitter.com/MKBHD
http://instagram.com/MKBHD
http://facebook.com/MKBHD",https://i.ytimg.com/vi/z19HM7ANZlo/hqdefault.jpg
@mkbhd,Yv_S7KrOlfk,The Tri Folding Phone Impressions!,2024-10-20T20:48:21Z,PT11M18S,4724038,168996,0,10360,"Huawei Mate XT is the tri-fold phone, a concept come to life

Shoutout to dbrand for finding a way to buy this thing. They make skins for other phones: http://dbrand.com

MKBHD Merch: http://shop.MKBHD.com

Tech I'm using right now: https://www.amazon.com/shop/MKBHD

Intro Track: http://youtube.com/20syl
Playlist of MKBHD Intro music: https://goo.gl/B3AWV5

~
http://twitter.com/MKBHD
http://instagram.com/MKBHD
http://facebook.com/MKBHD",https://i.ytimg.com/vi/Yv_S7KrOlfk/hqdefault.jpg
@mkbhd,nK9zxuXa3OA,Google Pixel 9 Pro Fold Is So Good! But…,2024-09-26T22:29:28Z,PT11M55S,3009494,83551,0,8588,"Pixel 9 Pro Fold is my favorite foldable I've ever used and you should totally get one, except...

Be the first to get the MKBHD x Ridge Biflex wallet at https://ridge.com/mkbhd

The wallpaper: https://panels.art/w/v4n

Google Pixel 9 Pro Fold: https://geni.us/pZmDZ8

MKBHD Merch: http://shop.MKBHD.com

Tech I'm using right now: https://www.amazon.com/shop/MKBHD

Intro Track: http://youtube.com/20syl
Playlist of MKBHD Intro music: https://goo.gl/B3AWV5

Phone provided by Google for review.

~
http://twitter.com/MKBHD
http://instagram.com/MKBHD
http://facebook.com/MKBHD",https://i.ytimg.com/vi/nK9zxuXa3OA/hqdefault.jpg
@mkbhd,MRtg6A1f2Ko,iPhone 16/16 Pro Review: Times Have Changed!,2024-09-23T23:23:20Z,PT20M41S,5641677,159951,0,18803,"iPhone 16 is here. Job finished? Job ain't finished.

Find a new wallpaper with the Panels app! https://get.panels.art/

MKBHD Merch: http://shop.MKBHD.com

Tech I'm using right now: https://www.amazon.com/shop/MKBHD

Intro Track: http://youtube.com/20syl
Playlist of MKBHD Intro music: https://goo.gl/B3AWV5

Phone provided by Apple for review.

~
http://twitter.com/MKBHD
http://instagram.com/MKBHD
http://facebook.com/MKBHD

0:00 Intro/Panels!!
2:52 What's Actually New
7:15 Camera Control
11:14 New Cameras
14:24 Barely Reviewable
18:35 So... Buy It?",https://i.ytimg.com/vi/MRtg6A1f2Ko/hqdefault.jpg
@mkbhd,h3BKjZMGoIw,iPhone 16/16 Pro Unboxing: End of an Era!,2024-09-18T12:01:27Z,PT11M21S,6429616,188043,0,12452,"iPhone 16 and 16 Pro have 1 change to the boxes. Goodbye, stickers.

Protect your smartphone’s screen perfectly and effortlessly at https://dbrand.com/store/prism

MKBHD Merch: http://shop.MKBHD.com

Tech I'm using right now: https://www.amazon.com/shop/MKBHD

Intro Track: Jordyn Edmonds https://lnk.to/jordynedmonds
Playlist of MKBHD Intro music: https://goo.gl/B3AWV5

Phones provided by Apple for review.

~
http://twitter.com/MKBHD
http://instagram.com/MKBHD
http://facebook.com/MKBHD",https://i.ytimg.com/vi/h3BKjZMGoIw/hqdefault.jpg
